,species,Jetz.species,match
1,Nectarinia sperata,Nectarinia_sperata,yes
2,Prinia inornata,Prinia_inornata,yes
3,Acrocephalus aedon,Acrocephalus_aedon,yes
4,Emberiza elegans,Emberiza_elegans,yes
5,Emberiza pusilla,Emberiza_pusilla,yes
6,Parus major,Parus_major,yes
7,Poecile montanus,Parus_montanus,no
8,Parus venustulus,Parus_venustulus,yes
9,Phylloscopus proregulus,Phylloscopus_proregulus,yes
10,Sitta europaea,Sitta_europaea,yes
11,Luscinia cyanura,Tarsiger_cyanurus,no
12,Acrocephalus agricola,Acrocephalus_agricola,yes
13,Cyanistes caeruleus,Parus_caeruleus,no
14,Eudynamys scolopaceus,Eudynamys_scolopaceus,yes
15,Saxicoloides fulicatus,Saxicoloides_fulicatus,yes
16,Acanthorhynchus tenuirostris,Acanthorhynchus_tenuirostris,yes
17,Accipiter brevipes,Accipiter_brevipes,yes
18,Accipiter francesiae,Accipiter_francesiae,yes
19,Accipiter gentilis,Accipiter_gentilis,yes
20,Accipiter cooperii,Accipiter_cooperii,yes
21,Accipiter soloensis,Accipiter_soloensis,yes
22,Accipiter tachiro,Accipiter_tachiro,yes
23,Bleda eximius,Bleda_eximius,yes
24,Bleda syndactylus,Bleda_syndactylus,yes
25,Campethera nivosa,Campethera_nivosa,yes
26,Fraseria cinerascens,Fraseria_cinerascens,yes
27,Merops malimbicus,Merops_malimbicus,yes
28,Neocossyphus fraseri,Stizorhina_fraseri,no
29,Neocossyphus poensis,Neocossyphus_poensis,yes
30,Oriolus brachyrhynchus,Oriolus_brachyrhynchus,yes
31,Dyaphorophyia castanea,Platysteira_castanea,no
32,Ploceus nigricollis,Ploceus_nigricollis,yes
33,Zoothera camaronensis,Zoothera_camaronensis,yes
34,Ficedula albicollis,Ficedula_albicollis,yes
35,Alethe fuelleborni,Alethe_fuelleborni,yes
36,Mirafra rufocinnamomea,Mirafra_rufocinnamomea,yes
37,Neocichla gutturalis,Neocichla_gutturalis,yes
38,Tockus alboterminatus,Tockus_alboterminatus,yes
39,Crex crex,Crex_crex,yes
40,Euplectes hordeaceus,Euplectes_hordeaceus,yes
41,Acrocephalus dumetorum,Acrocephalus_dumetorum,yes
42,Hippolais polyglotta,Hippolais_polyglotta,yes
43,Accipiter nisus,Accipiter_nisus,yes
44,Acrocephalus arundinaceus,Acrocephalus_arundinaceus,yes
45,Acrocephalus stentoreus,Acrocephalus_stentoreus,yes
46,Actenoides lindsayi,Actenoides_lindsayi,yes
47,Sturnus tristis,Acridotheres_tristis,no
48,Adelomyia melanogenys,Adelomyia_melanogenys,yes
49,Aegolius funereus,Aegolius_funereus,yes
50,Emberiza godlewskii,Emberiza_godlewskii,yes
51,Ficedula parva,Ficedula_parva,yes
52,Aegithina tiphia,Aegithina_tiphia,yes
53,Dicrurus leucophaeus,Dicrurus_leucophaeus,yes
54,Terpsiphone viridis,Terpsiphone_viridis,yes
55,Aegypius monachus,Aegypius_monachus,yes
56,Sylvia borin,Sylvia_borin,yes
57,Dicrurus adsimilis,Dicrurus_adsimilis,yes
58,Euplectes capensis,Euplectes_capensis,yes
59,Nectarinia venusta,Nectarinia_venusta,yes
60,Gymnoris superciliaris,Petronia_superciliaris,no
61,Ploceus ocularis,Ploceus_ocularis,yes
62,Ploceus velatus,Ploceus_velatus,yes
63,Pytilia melba,Pytilia_melba,yes
64,Quelea quelea,Quelea_quelea,yes
65,Hedydipna collaris,Anthreptes_collaris,no
66,Cyanomitra verticalis,Nectarinia_verticalis,no
67,Cyanomitra olivacea,Nectarinia_olivacea,no
68,Ploceus princeps,Ploceus_princeps,yes
69,Columba livia,Columba_livia,yes
70,Columba palumbus,Columba_palumbus,yes
71,Trachyphonus vaillantii,Trachyphonus_vaillantii,yes
72,Corvus albicollis,Corvus_albicollis,yes
73,Cisticola brachypterus,Cisticola_brachypterus,yes
74,Emberiza flaviventris,Emberiza_flaviventris,yes
75,Ceyx pictus,Ceyx_pictus,yes
76,Laniarius ferrugineus,Laniarius_ferrugineus,yes
77,Cinnyris mediocris,Nectarinia_mediocris,no
78,Ploceus baglafecht,Ploceus_baglafecht,yes
79,Batis dimorpha,Batis_capensis,no
80,Chrysococcyx klaas,Chrysococcyx_klaas,yes
81,Nectarinia afra,Nectarinia_afra,yes
82,Andropadus tephrolaemus,Andropadus_tephrolaemus,yes
83,Cisticola erythrops,Cisticola_erythrops,yes
84,Cisticola natalensis,Cisticola_natalensis,yes
85,Cisticola rufilatus,Cisticola_rufilatus,yes
86,Pytilia afra,Pytilia_afra,yes
87,Euplectes ardens,Euplectes_ardens,yes
88,Malaconotus blanchoti,Malaconotus_blanchoti,yes
89,Estrilda melanotis,Estrilda_melanotis,yes
90,Myrmecocichla arnotti,Myrmecocichla_arnoti,no
91,Lonchura cucullata,Lonchura_cucullata,yes
92,Cryptospiza reichenovii,Cryptospiza_reichenovii,yes
93,Pogonocichla stellata,Pogonocichla_stellata,yes
94,Serinus striolatus,Serinus_striolatus,yes
95,Batis molitor,Batis_molitor,yes
