"malavi_species","old_ebird","new_ebird","old_match_type","new_match_type","species_changed","n_host_records","old_ott","new_ott","old_family","new_family"
"Alethe poliocephala","Turdus poliocephalus","Chamaetylas poliocephala","reassigned:family","manual",TRUE,5,"Turdus poliocephalus","Chamaetylas poliocephala","Turdidae (Thrushes and Allies)","Muscicapidae (Old World Flycatchers)"
"Hemispingus frontalis","Crithagra frontalis","Sphenopsis frontalis","reassigned:family","manual",TRUE,10,"Crithagra frontalis","Hemispingus frontalis","Fringillidae (Finches, Euphonias, and Allies)","Thraupidae (Tanagers and Allies)"
"Kittacincla malabarica","Copsychus albiventris","Copsychus malabaricus","synonym:HowardMoore","manual",TRUE,3,"Copsychus albiventris","Kittacincla malabarica","Muscicapidae (Old World Flycatchers)","Muscicapidae (Old World Flycatchers)"
"Loxigilla violacea","Euphonia violacea","Melopyrrha violacea","reassigned:family","manual",TRUE,1,"Euphonia violacea","Loxigilla violacea","Fringillidae (Finches, Euphonias, and Allies)","Thraupidae (Tanagers and Allies)"
"Phaethornis baroni","Metallura baroni","Phaethornis longirostris","reassigned:family","synonym:BirdLife-lump",TRUE,1,"Metallura baroni","Phaethornis longirostris longirostris","Trochilidae (Hummingbirds)","Trochilidae (Hummingbirds)"
"Thraupis cyanocephala","Chlorophonia cyanocephala","Sporathraupis cyanocephala","reassigned:family","manual",TRUE,13,"Euphonia cyanocephala","Thraupis cyanocephala","Fringillidae (Finches, Euphonias, and Allies)","Thraupidae (Tanagers and Allies)"
"Tiaris obscura","Akialoa obscura","Asemospiza obscura","reassigned:family","manual",TRUE,3,"Akialoa obscura","Tiaris obscura","Fringillidae (Finches, Euphonias, and Allies)","Thraupidae (Tanagers and Allies)"
"Turdoides gularis","Mixornis gularis","Argya gularis","reassigned:family","manual",TRUE,1,"Mixornis gularis","Argya gularis","Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)","Leiothrichidae (Laughingthrushes and Allies)"
"Vermivora pinus","Setophaga pinus","Vermivora cyanoptera","reassigned:family","manual",TRUE,1,"Setophaga pinus","Vermivora cyanoptera","Parulidae (New World Warblers)","Parulidae (New World Warblers)"
"Zosterops capensis","Zosterops pallidus","Zosterops virens","legacy","manual",TRUE,1,"Zosterops pallidus","Zosterops virens","Zosteropidae (White-eyes, Yuhinas, and Allies)","Zosteropidae (White-eyes, Yuhinas, and Allies)"
"Accipiter tachiro","Aerospiza tachiro","Aerospiza tachiro","synonym:HowardMoore","synonym:IOC-lump",FALSE,2,"Accipiter tachiro","Accipiter tachiro","Accipitridae (Hawks, Eagles, and Kites)","Accipitridae (Hawks, Eagles, and Kites)"
"Camaroptera brevicaudata","Camaroptera brachyura","Camaroptera brachyura","legacy","synonym:IOC-lump",FALSE,2,"Camaroptera brachyura","Camaroptera brachyura","Cisticolidae (Cisticolas and Allies)","Cisticolidae (Cisticolas and Allies)"
"Icterus chrysocephalus","Icterus cayanensis","Icterus cayanensis","legacy","synonym:BirdLife-lump",FALSE,1,"Icterus cayanensis cayanensis","Icterus cayanensis cayanensis","Icteridae (Troupials and Allies)","Icteridae (Troupials and Allies)"
"Pitohui ferrugineus","Pseudorectes ferrugineus","Pseudorectes ferrugineus","reassigned:family","manual",FALSE,1,"Pseudorectes ferrugineus","Pseudorectes ferrugineus","Pachycephalidae (Whistlers and Allies)","Pachycephalidae (Whistlers and Allies)"
"Pitohui incertus","Pseudorectes incertus","Pseudorectes incertus","reassigned:family","manual",FALSE,2,"Pitohui incertus","Pitohui incertus","Pachycephalidae (Whistlers and Allies)","Pachycephalidae (Whistlers and Allies)"
"Tangara cayana","Stilpnia cayana","Stilpnia cayana","synonym:HowardMoore","synonym:BirdLife-lump",FALSE,10,"Tangara cayana","Tangara cayana","Thraupidae (Tanagers and Allies)","Thraupidae (Tanagers and Allies)"
"Tangara ruficervix","Chalcothraupis ruficervix","Chalcothraupis ruficervix","synonym:HowardMoore","synonym:BirdLife-lump",FALSE,3,"Tangara ruficervix","Tangara ruficervix","Thraupidae (Tanagers and Allies)","Thraupidae (Tanagers and Allies)"
